NO,AREA,DSGN_INDS,GHG_EMS_2016,ENG_CNSM_2016,GHG_EMS_2017,ENG_CNSM_2017,GHG_EMS_2018,ENG_CNSM_2018,GHG_EMS_2019,ENG_CNSM_2019,GHG_EMS_2020,ENG_CNSM_2020
188,울산광역시,조선,"360,107","6,506.70","273,422","4,939.00","220,874","3,907.00","88,974","1,608.00","15,785",267
189,울산광역시,철강,"18,910",387,"17,762",363,"16,361",335,"17,244",353,"17,552",359
190,울산광역시,폐기물,"255,378",891.5,"230,496","1,199.30","236,435","1,180.30","209,125",905.4,"198,243",768.6
191,인천광역시,건물,"99,305","1,858.00","117,424","2,246.00","141,846","2,714.00","85,553","1,671.30","68,894","1,366.00"
192,인천광역시,교통,"47,235",928,"49,423",979,"38,826",716,"39,044",722,"34,742",631.8
193,인천광역시,기계,"87,413","1,682.00","97,955","1,869.00","108,244","2,067.00","112,186","2,142.00","116,171","2,219.70"
194,인천광역시,목재,"74,515","2,756.00","78,139","2,752.00","77,532","2,677.00","71,847","1,866.00","66,578","1,397.00"
195,인천광역시,반도체,"48,028",982.5,"47,236",966.5,"44,874",920,"33,453",686,"51,308","1,053.00"
197,인천광역시,비철금속,"17,039",342,"17,346",348,"9,718",195,9523,189.15,"9,330",183.5
199,인천광역시,석유화학,"320,635","7,934.50","468,914","12,537.80","496,893","13,448.00","446,058","12,205.50","400,423","11,077.80"
200,인천광역시,시멘트,"25,976",521.4,"21,677",438,"17,422",351,"15,602",314.5,"15,542",313.5
201,인천광역시,음식료품,"78,779","1,554.70","98,968","2,089.00","97,549","2,059.00","96,917","2,035.00","96,289","2,911.30"
202,인천광역시,자동차,"237,673","4,786.00","228,209","4,597.00","202,350","4,075.00","165,937","3,344.00","137,285","2,744.00"
205,인천광역시,제조업,"23,153",467.2,"20,856",428,"19,764",401.5,"20,062",408,"18,773",382
206,인천광역시,집단에너지,"157,796","3,125.70","173,473","3,436.00","209,383","4,146.00","210,237","3,166.00","236,132","3,315.00"
207,인천광역시,철강,"3,217,411","52,483.80","3,618,930","20,728.00","3,783,835","22,891.00","3,739,399","23,054.00","16,547",311.5
208,인천광역시,폐기물,"592,234","1,493.00","558,865","1,220.00","470,913","1,264.00","506,582","2,456.00","508,995","2,363.50"
209,전라남도,교통,"64,760",887,"42,208",581.3,"45,452",625,"44,173",610,"43,392",597.3
211,전라남도,발전에너지,"2,638,862","51,520.00","1,885,990","25,679.00","2,044,449","30,050.00","1,822,979","28,004.00","1,625,500","26,097.00"
212,전라남도,비철금속,"1,551,617","17,300.00","1,620,284","17,703.00","1,585,094","17,268.00","803,916","8,513.50","18,188",323
213,전라남도,산업단지,"779,352","8,684.00","965,395","12,237.00","913,948","10,005.00","961,073","10,162.00","289,977","9,601.20"
214,전라남도,석유화학,"289,698","4,250.20","319,093","4,477.00","281,045","3,926.00","244,053","3,226.00","21,325","1,310.00"
216,전라남도,시멘트,"262,286","2,345.50","262,431","2,351.00","256,474","2,253.00","296,026","2,652.00","341,677","3,121.00"
217,전라남도,요업,"41,313",751,"41,353",757,"36,964",675,"37,476",685.5,"19,451",381
218,전라남도,유리,"24,198",458,"25,736",482.5,"18,542",364,"18,466",384,"18,390",405.1
221,전라남도,제지,"133,877","2,191.00","114,955",940,"75,043","1,121.00","101,776","1,092.00","138,032","1,063.80"
